                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90886,                0.55605,                0.92659,                0.78392,                0.72335,                0.78365,                 0.4721,                 0.9666,                0.59244,                0.94857,             0.00093385,             0.00093385,             0.00093385
                     37,                0.91134,                  0.554,                0.92693,                0.80015,                0.71756,                0.77945,                0.47484,                  0.964,                0.57173,                0.95146,              0.0009197,              0.0009197,              0.0009197
                     38,                0.90144,                0.55275,                0.92426,                0.80609,                0.71385,                0.78527,                0.47648,                0.96785,                0.57884,                0.95728,             0.00090556,             0.00090556,             0.00090556
                     39,                0.89896,                 0.5424,                0.92155,                0.78593,                0.73651,                0.78908,                0.48082,                0.95109,                0.56504,                0.94668,             0.00089141,             0.00089141,             0.00089141
                     40,                0.90421,                0.55036,                0.92452,                 0.7839,                0.72816,                0.78243,                0.47482,                0.96114,                0.57302,                0.95117,             0.00087726,             0.00087726,             0.00087726
                     41,                0.89443,                0.54095,                0.92288,                0.80142,                0.71955,                0.78844,                0.47953,                0.95453,                0.56389,                0.94829,             0.00086312,             0.00086312,             0.00086312
                     42,                0.89582,                0.53837,                0.92043,                0.80872,                0.73151,                0.79169,                0.48202,                0.95507,                0.57635,                0.94971,             0.00084897,             0.00084897,             0.00084897
                     43,                0.89172,                0.54183,                0.91841,                0.78817,                0.73162,                0.78717,                0.47786,                0.96059,                0.57278,                0.94973,             0.00083482,             0.00083482,             0.00083482
                     44,                0.88506,                0.53353,                0.91979,                0.79374,                0.73492,                0.78699,                0.47955,                0.94399,                0.56102,                0.94643,             0.00082067,             0.00082067,             0.00082067
                     45,                0.88801,                0.53248,                0.92076,                0.81189,                0.72903,                0.78073,                0.47964,                0.94758,                0.57196,                0.94594,             0.00080653,             0.00080653,             0.00080653
                     46,                0.88322,                0.52974,                0.92013,                0.81997,                0.72752,                0.79575,                0.48347,                0.95366,                0.55832,                0.95029,             0.00079238,             0.00079238,             0.00079238
                     47,                0.88213,                0.52595,                0.91866,                 0.8168,                0.72681,                0.79607,                0.48318,                0.95517,                0.55646,                0.95153,             0.00077823,             0.00077823,             0.00077823
                     48,                0.87411,                0.52415,                0.91516,                0.78829,                0.73014,                0.78384,                 0.4816,                 0.9486,                0.56376,                0.94943,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.8773,                0.52092,                0.91409,                0.81756,                0.73387,                0.79738,                0.48703,                0.95404,                0.55055,                0.95044,             0.00074994,             0.00074994,             0.00074994
